set,attribute,score
1,Visualiser,6.2
1,Technologist,4.4
1,Data Wrangler,4
1,Communicator,3.1
1,Modeller,2.1
1,Programmer,1.7
2,Communicator,5.6
2,Data Wrangler,4.7
2,Technologist,3.7
2,Visualiser,3.1
2,Modeller,2.7
2,Programmer,2
3,Technologist,5.2
3,Visualiser,4.5
3,Data Wrangler,4.1
3,Modeller,3.2
3,Communicator,2.6
3,Programmer,1
4,Technologist,6.4
4,Communicator,4.4
4,Visualiser,3.7
4,Modeller,3.4
4,Data Wrangler,2.5
4,Programmer,1.8
5,Visualiser,5.1
5,Data Wrangler,4.6
5,Technologist,3.2
5,Modeller,2.9
5,Communicator,2.6
5,Programmer,1.3
6,Technologist,5.8
6,Modeller,4.6
6,Communicator,3.6
6,Data Wrangler,3.3
6,Programmer,3
6,Visualiser,2.2
7,Technologist,5.2
7,Modeller,4.4
7,Data Wrangler,3.2
7,Visualiser,3
7,Communicator,2.6
7,Programmer,1.6
8,Technologist,5.6
8,Visualiser,5
8,Communicator,4.7
8,Data Wrangler,3.7
8,Programmer,3.4
8,Modeller,3
9,Programmer,4.7
9,Technologist,3.5
9,Visualiser,3.3
9,Modeller,2.4
9,Data Wrangler,2.1
9,Communicator,1.2
10,Modeller,4.4
10,Visualiser,3.9
10,Data Wrangler,3.2
10,Programmer,3
10,Communicator,2.6
10,Technologist,1.9
11,Data Wrangler,4.6
11,Modeller,4.4
11,Programmer,2.9
11,Technologist,2.7
11,Communicator,2.4
11,Visualiser,1.8
12,Communicator,5.4
12,Visualiser,4.3
12,Technologist,3
12,Data Wrangler,2.5
12,Modeller,2.4
12,Programmer,2.2
13,Technologist,5.9
13,Communicator,5.1
13,Modeller,4.9
13,Visualiser,3.5
13,Programmer,3.2
13,Data Wrangler,2.6
14,Communicator,4.4
14,Programmer,3.3
14,Visualiser,3.1
14,Modeller,2.9
14,Technologist,2.6
14,Data Wrangler,1.9
15,Data Wrangler,4.9
15,Programmer,4.7
15,Communicator,4.3
15,Technologist,4
15,Visualiser,3.4
15,Modeller,2.5
16,Data Wrangler,6
16,Visualiser,4.6
16,Technologist,3.5
16,Modeller,3.2
16,Communicator,2.7
16,Programmer,2.2
17,Data Wrangler,6
17,Modeller,4.4
17,Visualiser,4
17,Technologist,3.4
17,Programmer,3
17,Communicator,1.7
18,Visualiser,4.9
18,Modeller,4.6
18,Programmer,4
18,Communicator,2.9
